<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;D;230919;000000;3165.06;3177.23;3127.37;3135.18;56363929560
IMOEX;D;230920;000000;3134.37;3141.38;3054.25;3083.85;90697414072
IMOEX;D;230921;000000;3061.18;3091.05;3013.75;3068.15;90414748564
IMOEX;D;230922;000000;3058.2;3062.68;3009.89;3019.22;75754918837
IMOEX;D;230923;000000;3009.87;3051.69;2988.04;3049.07;70541006633
IMOEX;D;230926;000000;3051.85;3056.23;3025.89;3045.39;43781955521
IMOEX;D;230927;000000;3034.23;3051.91;3001.92;3051.91;52619557707
IMOEX;D;230928;000000;3053.37;3081.41;3052.59;3067.61;46165613782
IMOEX;D;230929;000000;3080.81;3108.07;3076.64;3108.07;51660123378
IMOEX;D;230930;000000;3121.07;3141.12;3106.97;3133.26;66248378664
IMOEX;D;231003;000000;3141.69;3162.53;3125.58;3132.33;68581714014
IMOEX;D;231004;000000;3134.45;3146.33;3103.63;3143.88;51681873711
IMOEX;D;231005;000000;3138.62;3154.97;3130.03;3134.25;43906185126
IMOEX;D;231006;000000;3126.71;3138.5;3112.96;3131.76;41451215496
IMOEX;D;231007;000000;3138.87;3145.01;3121;3144.89;39451036259
IMOEX;D;231010;000000;3166.21;3185.86;3164.63;3174.02;56441761366
IMOEX;D;231011;000000;3175.08;3182.08;3162.61;3177.03;39537131585
IMOEX;D;231012;000000;3174.99;3196.44;3168.29;3194.12;66588523818
IMOEX;D;231013;000000;3130.04;3178.5;3122.58;3174.66;62571132736
IMOEX;D;231014;000000;3182.47;3195.23;3176.17;3192.33;50164539589
IMOEX;D;231017;000000;3204.81;3235.66;3202.94;3234.78;65631124360
IMOEX;D;231018;000000;3239.37;3252.55;3228.11;3247.15;72134689040
IMOEX;D;231019;000000;3252.31;3262.54;3225.44;3249.21;81000173319
IMOEX;D;231020;000000;3245.26;3260.45;3232.16;3255.16;57116882589
IMOEX;D;231021;000000;3257.85;3269.71;3236.31;3269.27;69423498349
IMOEX;D;231024;000000;3271.76;3283.8;3248.39;3263.68;66837797956
IMOEX;D;231025;000000;3256.29;3266.59;3237.08;3265.01;57753713995
IMOEX;D;231026;000000;3265.18;3269.76;3243.25;3265.28;59050060810
IMOEX;D;231027;000000;3272.71;3283.49;3221.79;3223.89;77921025120
IMOEX;D;231028;000000;3219.49;3241.55;3185.84;3224.18;71895100528
IMOEX;D;231031;000000;3232.82;3246;3219.7;3227.07;46027902406
IMOEX;D;231101;000000;3221.08;3226.88;3176.53;3200.97;50922304376
IMOEX;D;231102;000000;3192.96;3214.83;3191.34;3206.52;34151534845
IMOEX;D;231103;000000;3216.92;3228.46;3197.22;3197.22;44661043464
IMOEX;D;231104;000000;3207.04;3212.81;3182.17;3208.63;45275913502
IMOEX;D;231107;000000;3207.47;3237.09;3207.1;3235.11;34629484182
IMOEX;D;231108;000000;3239.98;3246.65;3228.46;3246.34;43602565076
IMOEX;D;231109;000000;3238.81;3257.32;3233.11;3245.43;51595042504
IMOEX;D;231110;000000;3241.5;3245.11;3222.34;3239.92;41180868778
IMOEX;D;231111;000000;3236.03;3246.31;3229.1;3242.06;45375928752
IMOEX;D;231114;000000;3241.31;3251.74;3235.06;3248.27;46158296028
IMOEX;D;231115;000000;3236.48;3236.48;3192.32;3212.39;60477293840
IMOEX;D;231116;000000;3195.43;3221.22;3182.78;3215.11;51319236577
IMOEX;D;231117;000000;3209.33;3215.93;3184.97;3189.08;36721302547
IMOEX;D;231118;000000;3172.78;3208.17;3151.95;3206.34;47102783136
IMOEX;D;231121;000000;3205.73;3216.73;3194.4;3207.36;38327738173
IMOEX;D;231122;000000;3198.73;3219.11;3193.46;3218.48;42284572626
IMOEX;D;231123;000000;3221.9;3239.17;3220.37;3230.65;52978233723
IMOEX;D;231124;000000;3233.09;3238.81;3218.72;3221.05;37275484221
IMOEX;D;231125;000000;3223.75;3231.77;3203.62;3217.76;46289477525
IMOEX;D;231128;000000;3220.25;3224.61;3178.2;3191.05;68069996522
IMOEX;D;231129;000000;3189.16;3197.61;3157.55;3196.36;52669439750
IMOEX;D;231130;000000;3196.75;3200.33;3173.37;3173.52;45013440561
IMOEX;D;231201;000000;3176.5;3176.53;3146.53;3165.79;48879881178
IMOEX;D;231202;000000;3155.87;3162.97;3136.56;3142.29;39399849253
IMOEX;D;231205;000000;3123.18;3126.55;3096.28;3114.41;47472192271
IMOEX;D;231206;000000;3102.3;3134.57;3090.31;3129.33;40616313023
IMOEX;D;231207;000000;3139.89;3146.52;3077.94;3079.5;56994161677
IMOEX;D;231208;000000;3065.93;3084.5;3041.11;3073.63;58445034321
IMOEX;D;231209;000000;3079.88;3100.22;3067.46;3079.99;33718138747
IMOEX;D;231212;000000;3081.88;3082.3;3025.74;3026.17;67482729976
IMOEX;D;231213;000000;3020.61;3046.81;2992.5;3019.89;49905501703
IMOEX;D;231214;000000;3011.99;3043.42;3002.38;3032.22;32628833032
IMOEX;D;231215;000000;3046.43;3057.08;3005.94;3008.84;36584934144
IMOEX;D;231216;000000;2959.29;3037.29;2959.29;3033.89;68901058125
IMOEX;D;231219;000000;3052.14;3090.04;3048.82;3076.26;57321317708
IMOEX;D;231220;000000;3084.12;3091.26;3066.34;3083.64;49073589110
IMOEX;D;231221;000000;3091.35;3113.92;3088.74;3104.66;51591671407
IMOEX;D;231222;000000;3093.46;3095.01;3050;3073.57;57195576040
IMOEX;D;231223;000000;3076.31;3102.75;3075.56;3092.58;58685100616
IMOEX;D;231226;000000;3095.42;3108.14;3086.89;3099.02;63938381786
IMOEX;D;231227;000000;3090.39;3098.69;3080.92;3094.72;45636778193
IMOEX;D;231228;000000;3100.99;3112.19;3097.31;3097.49;48749868157
IMOEX;D;231229;000000;3099.56;3101.99;3081.98;3101.99;47431925893
IMOEX;D;231230;000000;3092.66;3102.08;3086.26;3099.11;31721834520
IMOEX;D;240104;000000;3099.78;3132.76;3099.1;3130.23;25099765853
IMOEX;D;240105;000000;3140.66;3144.25;3133.93;3136.07;21911294862
IMOEX;D;240106;000000;3138.27;3142.8;3128.16;3136.37;19753389601
IMOEX;D;240109;000000;3140.12;3158.82;3139.37;3158.58;34329074106
IMOEX;D;240110;000000;3156.17;3158.72;3143.03;3155.55;47506553527
IMOEX;D;240111;000000;3158.35;3174.28;3156.44;3164.7;41490192876
IMOEX;D;240112;000000;3158.3;3181.25;3148.5;3181.25;74539735595
IMOEX;D;240113;000000;3182.5;3196.98;3176.09;3185.22;57864409631
IMOEX;D;240116;000000;3190.62;3200.78;3176.73;3184.88;54441165003
IMOEX;D;240117;000000;3186.77;3187.14;3162.98;3179.45;52110375519
IMOEX;D;240118;000000;3174.87;3189.26;3169.99;3185.23;45728506784
IMOEX;D;240119;000000;3188.71;3193.54;3176.72;3178.85;41501331242
IMOEX;D;240120;000000;3176.13;3179.21;3154.46;3166.37;43778561629
IMOEX;D;240123;000000;3161.44;3179.11;3157.37;3172.15;40245676307
IMOEX;D;240124;000000;3176.19;3179.75;3166.66;3175.74;43843170585
IMOEX;D;240125;000000;3176.59;3183.7;3152.96;3162.41;44125488170
IMOEX;D;240126;000000;3163.36;3166.95;3143.89;3157.74;43964617848
IMOEX;D;240127;000000;3164.55;3171.95;3157.76;3163.21;44434205521
IMOEX;D;240130;000000;3169.57;3184.15;3169.57;3176.61;45079333771
IMOEX;D;240131;000000;3181.75;3196.15;3178.82;3196.08;71104347653
IMOEX;D;240201;000000;3201.48;3219.41;3198.83;3214.19;63417125148
IMOEX;D;240202;000000;3220.43;3233.21;3220.38;3229.89;55302181736
IMOEX;D;240203;000000;3229.48;3232.35;3215;3226.35;57285681737
IMOEX;D;240206;000000;3218.91;3232.38;3218.91;3226.79;78173299808
IMOEX;D;240207;000000;3234.44;3238.4;3228.78;3238.4;45528686817
IMOEX;D;240208;000000;3240.57;3259.24;3240.16;3256.58;69261121008
IMOEX;D;240209;000000;3261.18;3266.45;3236.79;3241.81;90042247728
IMOEX;D;240210;000000;3231.3;3242.38;3219.56;3242.38;49456718531
IMOEX;D;240213;000000;3241.57;3248.5;3227.7;3248.5;51206382677
IMOEX;D;240214;000000;3250.3;3259.69;3245.02;3254.6;45946893921
IMOEX;D;240215;000000;3261.52;3267.88;3251.76;3258.14;39167498395
IMOEX;D;240216;000000;3249.78;3265.83;3238.83;3265.63;40015446118
IMOEX;D;240217;000000;3269.84;3275.23;3236.42;3242.48;44894740349
IMOEX;D;240220;000000;3247.46;3253.02;3234.1;3244.56;33376296867
IMOEX;D;240221;000000;3236.85;3237.34;3206.07;3207.49;61414679785
IMOEX;D;240222;000000;3173.01;3185.8;3135.8;3139.5;101720711061
IMOEX;D;240223;000000;3152.75;3166.86;3141.88;3142.3;64212764912
IMOEX;D;240227;000000;3186.06;3213.17;3186.06;3213.17;66894933204
IMOEX;D;240228;000000;3220.26;3224.52;3203.58;3208.99;53230509916
IMOEX;D;240229;000000;3215.53;3240.29;3213.36;3227.05;59789222900
IMOEX;D;240301;000000;3233.03;3258.14;3224.09;3256.8;48704460369
IMOEX;D;240302;000000;3259;3269.28;3249.69;3266.66;57640939039
IMOEX;D;240305;000000;3278.01;3298.63;3277.85;3296.75;83355129302
IMOEX;D;240306;000000;3305.79;3312.41;3283.59;3300.89;63518536901
IMOEX;D;240307;000000;3298.86;3318.14;3289.25;3310.58;47701149735
IMOEX;D;240308;000000;3309.31;3317.73;3303.93;3315.68;40669277132
IMOEX;D;240312;000000;3329.72;3340.37;3318.9;3320.31;61784931694
IMOEX;D;240313;000000;3320.18;3335.41;3304.49;3332.6;51898354497
IMOEX;D;240314;000000;3337.56;3343.56;3317.19;3320.68;57939921527
IMOEX;D;240315;000000;3314.66;3318.49;3287.86;3297;66603665951
IMOEX;D;240316;000000;3295.15;3313.42;3292.13;3300.07;47224152609
IMOEX;D;240319;000000;3305.67;3313.05;3292;3296.3;82200748767
IMOEX;D;240320;000000;3293.93;3303.52;3254.3;3264.97;121871933638
IMOEX;D;240321;000000;3268.87;3286.72;3257.72;3267.1;130841905581
IMOEX;D;240322;000000;3286.75;3297.46;3259.03;3286.69;104190965377
IMOEX;D;240323;000000;3289.28;3299.19;3260.39;3273.49;84381073218
IMOEX;D;240326;000000;3251.24;3281.63;3234.95;3281.63;69191621678
IMOEX;D;240327;000000;3286.2;3291;3275.8;3285.54;57489111456
IMOEX;D;240328;000000;3291.7;3304.09;3280.03;3304.09;49700134113
IMOEX;D;240329;000000;3308.26;3313.59;3301.52;3312.77;59261566609
IMOEX;D;240330;000000;3313.17;3332.53;3305.22;3332.53;56861346349
IMOEX;D;240402;000000;3343.66;3367.34;3343.66;3363.29;97255272712
IMOEX;D;240403;000000;3369.32;3375.69;3357.55;3371.29;78277082408
IMOEX;D;240404;000000;3381.95;3397.33;3376.63;3395.59;82665801097
IMOEX;D;240405;000000;3399.81;3409.62;3392.06;3407.57;77882853131
IMOEX;D;240406;000000;3393.2;3401.16;3385.42;3395.37;56706778794
IMOEX;D;240409;000000;3400.82;3423.35;3400.82;3417.38;68993876070
IMOEX;D;240410;000000;3423.41;3441.18;3408.99;3414.26;79758477615
IMOEX;D;240411;000000;3424.75;3440.03;3405.46;3439.11;63536294118
IMOEX;D;240412;000000;3442.84;3455.61;3431.18;3439.53;50245611381
IMOEX;D;240413;000000;3448.6;3464;3446.79;3456.24;59024105329
IMOEX;D;240416;000000;3456.38;3476.98;3454.06;3472.19;70318353971
IMOEX;D;240417;000000;3478.02;3479.04;3459.45;3462.94;61477772564
IMOEX;D;240418;000000;3469.57;3476.72;3443.07;3454.07;58722007610
IMOEX;D;240419;000000;3451.37;3457.46;3436.95;3455.82;53270817663
IMOEX;D;240420;000000;3458.86;3475.13;3451.48;3470.88;50835243132
IMOEX;D;240423;000000;3468.09;3480.21;3460.58;3479.17;75712964733
IMOEX;D;240424;000000;3483.26;3487.55;3436.83;3439.42;92002065358
IMOEX;D;240425;000000;3438.45;3445.67;3423.17;3428.93;56511304193
IMOEX;D;240426;000000;3429.62;3443.74;3427.02;3439.76;44536289154
IMOEX;D;240427;000000;3446.39;3459.12;3438.06;3449.77;44692478254
IMOEX;D;240428;000000;3453.63;3467.23;3453.4;3465.85;45337967157
IMOEX;D;240430;000000;3468.92;3480.47;3467.25;3478.08;29609289552
IMOEX;D;240501;000000;3481.29;3486.3;3464.86;3469.83;22931749241
IMOEX;D;240503;000000;3470.87;3477.42;3439.58;3442.83;53592209518
IMOEX;D;240504;000000;3443.49;3450.43;3424.63;3441.77;46971206548
IMOEX;D;240507;000000;3441.7;3444.11;3418.47;3436.05;65721435457
IMOEX;D;240508;000000;3405.82;3428.37;3405.82;3427.61;61705345533
IMOEX;D;240509;000000;3431.84;3438.75;3430.1;3432.54;49680849888
IMOEX;D;240511;000000;3438.5;3452.33;3438.5;3449.78;29542705765
IMOEX;D;240514;000000;3459.05;3465.62;3448.5;3457.11;59594043948
IMOEX;D;240515;000000;3465.83;3468.28;3457.31;3463.93;57973690435
IMOEX;D;240516;000000;3466.35;3476.49;3462.86;3470.72;84117798699
IMOEX;D;240517;000000;3480.48;3490.77;3477.85;3486.26;60066871717
IMOEX;D;240518;000000;3495.25;3506.91;3490.17;3501.89;65045651676
IMOEX;D;240521;000000;3516.4;3521.72;3468.09;3468.09;78874066613
IMOEX;D;240522;000000;3447.25;3460.19;3409.92;3428.38;87170304241
IMOEX;D;240523;000000;3433.36;3449.43;3433.36;3444.64;52369153553
IMOEX;D;240524;000000;3436.81;3444.79;3407.41;3442.79;72701741124
IMOEX;D;240525;000000;3438.65;3442.36;3377.64;3396.5;80353186953
IMOEX;D;240528;000000;3384.74;3392.99;3298.21;3299.22;102857465743
IMOEX;D;240529;000000;3305.11;3347.85;3277.48;3302.91;71435532380
IMOEX;D;240530;000000;3307.76;3323.08;3284.14;3318.03;62034452871
IMOEX;D;240531;000000;3332.77;3342.59;3275.54;3282.18;50826987916
IMOEX;D;240601;000000;3258.52;3270.01;3211.19;3217.19;69968909469
